State,WHITESPACE,*,+,-,/,%,^,+=,-=,++,--,<,<=,>,>=,=,==,!=,||,&&,~,main,id,num,string,character,int,char,float,double,void,cin,cout,while,for,if,else,break,return,[,],{,},(,),",",;,<<<,>>>,>>,<<,$
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r76,,r76,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r75,,r75,,,,,
79,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,
80,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s131,s99,,s135,,,,,,,,,,,,,,,,,,s101,,,,,,,,
81,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,
82,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,
83,,,,s94,,,,,,s95,s96,,,,,,,,,,s144,,s97,s99,s146,s135,,,,,,,,,,,,,,,,,,s145,,,,,,,,
84,,,,,,,,,,r169,r169,,,,,,,,,,,,r169,,,,r169,r169,r169,r169,r169,r169,r169,r169,r169,r169,r169,r169,r169,,,r169,r169,,,,,,,,,
85,,,,,,,,,,r170,r170,,,,,,,,,,,,r170,,,,r170,r170,r170,r170,r170,r170,r170,r170,r170,r170,r170,r170,r170,,,r170,r170,,,,,,,,,
86,,,,,,,,,,r171,r171,,,,,,,,,,,,r171,,,,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,,,r171,r171,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s148,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s149,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s150,,,,,
